DEPTH:1,CALI,AT10,AT30,AT60,AT90,GR,Rv,Rh,Csh_pred,Rss_pred,Rvsh,Rhsh,Rv_sim,Rh_sim,Rv_err,Rh_err
9720.0,12.8824,1.5269,1.1963,1.1103,1.1101,86.3898,3.8097,0.8607,0.9841564,-4.906962,0.775,0.775,2.6906881,0.7894837,29.37270301494222,8.274227254022579
9720.25,12.8969,1.5301,1.2093,1.1268,1.1215,87.6158,3.8877,0.8783,0.98520875,-4.997638,0.775,0.775,2.697471,0.788471,30.61525057497733,10.22760064838335
9720.5,12.9115,1.5334,1.2223,1.1433,1.1328,88.8418,3.9521,0.8921,0.98602366,-5.072329,0.775,0.775,2.702792,0.78769106,31.611246445054654,11.70372640641598
9720.75,12.837,1.5219,1.2123,1.1382,1.1203,90.0982,3.9985,0.9017,0.9865823,-5.1260614,0.775,0.775,2.7064757,0.7871587,32.31272390369655,12.702813835435947
9721.0,12.7624,1.5104,1.2023,1.1331,1.1078,91.3546,4.0274,0.9076,0.98691875,-5.159509,0.775,0.775,2.7087097,0.7868389,32.74296775098389,13.305543287570593
9721.25,12.6588,1.5034,1.1971,1.1288,1.1,91.685,4.0429,0.9109,0.9870962,-5.1774807,0.775,0.775,2.7098923,0.7866705,32.971573055251966,13.638104511964128
9721.5,12.5553,1.4963,1.1919,1.1246,1.0923,92.0154,4.049,0.9125,0.9871661,-5.184625,0.775,0.775,2.7103593,0.7866042,33.061019141870126,13.796797190627005
9721.75,12.6807,1.5143,1.2071,1.1374,1.1041,93.2025,4.0484,0.9134,0.9871617,-5.184176,0.775,0.775,2.7103298,0.7866084,33.05182859791844,13.881278962046984
9722.0,12.8061,1.5322,1.2223,1.1501,1.116,94.3896,4.0416,0.9141,0.9870897,-5.176807,0.775,0.775,2.709849,0.7866767,32.95108078022562,13.939754415974685
9722.25,12.8224,1.5464,1.231,1.1555,1.1215,93.5331,4.0272,0.9151,0.9869348,-5.1610866,0.775,0.775,2.7088168,0.7868237,32.73696943934019,14.017736866179483
9722.5,12.8388,1.5605,1.2398,1.1608,1.127,92.6767,4.0035,0.9165,0.9866752,-5.135153,0.775,0.775,2.7070923,0.78707033,32.381858744692146,14.122167598726445
9722.75,12.8279,1.5829,1.2465,1.1666,1.1363,91.8913,3.9696,0.9185,0.9862949,-5.098058,0.775,0.775,2.7045784,0.7874323,31.867734792971504,14.269753623800426
9723.0,12.817,1.6053,1.2532,1.1724,1.1457,91.1058,3.9273,0.9212,0.98580605,-5.0518203,0.775,0.775,2.7013671,0.787899,31.215666238477212,14.47036285996696
9723.25,12.7516,1.6137,1.2797,1.1902,1.1661,88.951,3.8808,0.9241,0.98524845,-5.000976,0.775,0.775,2.6977317,0.78843296,30.48516457116719,14.68099169550024
9723.5,12.6861,1.622,1.3062,1.2079,1.1866,86.7962,3.8364,0.9272,0.984697,-4.9525065,0.775,0.775,2.6941643,0.7889628,29.773634758548457,14.90910467760022
9723.75,12.6062,1.6389,1.3315,1.2313,1.2116,87.3432,3.8013,0.9301,0.9842479,-4.9142976,0.775,0.775,2.691279,0.7893955,29.201090824750487,15.127888275415538
9724.0,12.5262,1.6558,1.3569,1.2547,1.2365,87.8903,3.783,0.933,0.98401284,-4.89471,0.775,0.775,2.6897755,0.7896226,28.898348746525365,15.367352106435767
9724.25,12.508,1.6689,1.3742,1.2742,1.2497,86.8035,3.7907,0.9362,0.98412514,-4.904012,0.775,0.775,2.6904933,0.7895141,29.023838730033503,15.668219996425645
9724.5,12.4898,1.682,1.3915,1.2938,1.2628,85.7167,3.8374,0.9409,0.98474854,-4.9569016,0.775,0.775,2.6944978,0.7889132,29.783243245030235,16.153343568409216
9724.75,12.4952,1.7575,1.4028,1.3236,1.2753,86.1166,3.9422,0.9483,0.9860529,-5.074836,0.775,0.775,2.7029874,0.7876632,31.43454333925579,16.93944728891143
9725.0,12.5007,1.8329,1.4142,1.3533,1.2879,86.5166,4.1302,0.9599,0.9881192,-5.285997,0.775,0.775,2.7167773,0.78570336,34.22165210700418,18.147373576998298
9725.25,12.5644,1.8724,1.4403,1.3579,1.3008,85.0745,4.4313,0.9768,0.99081284,-5.6237884,0.775,0.775,2.7354898,0.7831868,38.26890877900664,19.821171854286288
9725.5,12.628,1.9119,1.4664,1.3626,1.3137,83.6324,4.8747,0.9989,0.99371225,-6.1205506,0.775,0.775,2.7568278,0.7805292,43.446205278923614,21.861127136777338
9725.75,12.6498,1.9406,1.5253,1.4288,1.3802,84.2932,5.4781,1.025,0.9962495,-6.7956166,0.775,0.775,2.7769628,0.7782517,49.30792141234013,24.07300414108648
9726.0,12.6716,1.9694,1.5841,1.495,1.4468,84.9539,6.2288,1.0523,0.9980288,-7.6342363,0.775,0.775,2.7924066,0.7766864,55.16942976190472,26.191545151309302
9726.25,12.6298,2.0967,1.648,1.5343,1.4929,84.2313,7.0629,1.0775,0.9990355,-8.564794,0.775,0.775,2.8020258,0.77581596,60.32754541359908,27.998518445928795
9726.5,12.588,2.2239,1.7118,1.5736,1.5389,83.5087,7.8666,1.0981,0.99951553,-9.460552,0.775,0.775,2.8070538,0.7754064,64.31681025604983,29.386538545590984
9726.75,12.488,2.188,1.7113,1.5714,1.5521,81.7136,8.5219,1.1127,0.9997235,-10.190385,0.775,0.775,2.8094046,0.77523065,67.03311923881384,30.328871561658772
9727.0,12.388,2.1521,1.7107,1.5691,1.5652,79.9185,8.9688,1.1219,0.9998115,-10.687931,0.775,0.775,2.8104548,0.77515674,68.66409279470534,30.906788807032587
9727.25,12.4062,2.0487,1.6351,1.5113,1.5082,79.2577,9.2242,1.127,0.9998485,-10.97224,0.775,0.775,2.8109112,0.7751257,69.52677545381857,31.22221097125347
9727.5,12.4244,1.9452,1.5595,1.4535,1.4512,78.5969,9.3454,1.1295,0.9998634,-11.107177,0.775,0.775,2.8110983,0.7751132,69.91997841533308,31.375544490197843
9727.75,12.419,1.8229,1.5247,1.4164,1.4165,78.9539,9.3849,1.1308,0.9998679,-11.151271,0.775,0.775,2.8111556,0.77510947,70.04597217197363,31.454769199629073
9728.0,12.4135,1.7006,1.49,1.3793,1.3819,79.311,9.3677,1.1318,0.999866,-11.132446,0.775,0.775,2.8111315,0.7751111,69.99123074654443,31.51519003216085
9728.25,12.4226,1.713,1.4666,1.3613,1.3564,81.8778,9.287,1.1335,0.9998565,-11.043406,0.775,0.775,2.8110113,0.77511907,69.73176144726942,31.617197508742535
9728.5,12.4317,1.7254,1.4433,1.3432,1.3309,84.4447,9.1099,1.1367,0.9998332,-10.847878,0.775,0.775,2.8107216,0.7751385,69.14651493629478,31.807997065839704
9728.75,12.4935,1.8105,1.4827,1.3874,1.3867,83.9491,8.7933,1.1426,0.9997819,-10.498375,0.775,0.775,2.810097,0.7751815,68.04274869342301,32.15635635379983
9729.0,12.5553,1.8956,1.5221,1.4315,1.4425,83.4535,8.3133,1.1523,0.9996723,-9.968674,0.775,0.775,2.8088114,0.7752738,66.21303903188,32.71944806940552
9729.25,12.5389,1.988,1.5776,1.4645,1.4574,83.1997,7.6959,1.1663,0.9994468,-9.287708,0.775,0.775,2.806306,0.7754648,63.5350526213316,33.5106942314927
9729.5,12.5225,2.0805,1.6332,1.4975,1.4723,82.9459,7.0174,1.1847,0.99901736,-8.540074,0.775,0.775,2.801844,0.77583146,60.072906181676174,34.51241150056903
9729.75,12.4698,2.1758,1.6741,1.5312,1.486,81.463,6.3698,1.2061,0.9983014,-7.827411,0.775,0.775,2.7949262,0.7764494,56.12223042270678,35.623133877361305
9730.0,12.4171,2.2712,1.715,1.5649,1.4997,79.98,5.8213,1.2281,0.9973028,-7.224735,0.775,0.775,2.785926,0.7773215,52.14254369999968,36.70535644756137
9730.25,12.3226,2.329,1.7667,1.6027,1.5039,80.7195,5.4009,1.2483,0.9961593,-6.7636104,0.775,0.775,2.7762191,0.7783318,48.59710178743584,37.64865687763825
9730.5,12.2281,2.3867,1.8184,1.6405,1.508,81.459,5.1059,1.2646,0.9950818,-6.4405446,0.775,0.775,2.767489,0.7792939,45.79821468396529,38.376253774493016
9730.75,12.2717,2.3808,1.8041,1.6381,1.5465,81.3168,4.9164,1.2764,0.9942372,-6.233333,0.775,0.775,2.7608676,0.78005415,43.843715001370775,38.88638733846197
9731.0,12.3153,2.3749,1.7899,1.6358,1.585,81.1746,4.8064,1.2844,0.9936837,-6.1133285,0.775,0.775,2.7566187,0.7805552,42.646913736384015,39.22802953473581
9731.25,12.3481,2.3843,1.8053,1.6394,1.6034,81.8326,4.7516,1.2903,0.9933909,-6.054004,0.775,0.775,2.7543972,0.78082114,42.032217487701615,39.48530228777486
9731.5,12.3808,2.3938,1.8207,1.643,1.6218,82.4905,4.7337,1.2965,0.99329776,-6.0356507,0.775,0.775,2.753694,0.78090584,41.82787127480407,39.768157132196926
9731.75,12.3989,2.4247,1.8294,1.6547,1.6194,81.0168,4.7416,1.305,0.993353,-6.0464463,0.775,0.775,2.7541113,0.7808556,41.9159927033485,40.164322140573084
9732.0,12.4171,2.4555,1.8381,1.6664,1.6169,79.543,4.7703,1.3181,0.9935284,-6.0814,0.775,0.775,2.7554393,0.7806962,42.23761018251214,40.771093752720446
9732.25,12.4589,2.4641,1.8308,1.6611,1.6234,78.3548,4.8176,1.337,0.99380445,-6.13836,0.775,0.775,2.7575414,0.78044575,42.76109643649199,41.62709390216562
9732.5,12.5007,2.4728,1.8235,1.6558,1.6299,77.1665,4.8807,1.3615,0.9941539,-6.2141767,0.775,0.775,2.7602265,0.78012943,43.44609404156364,42.700739428701965
9732.75,12.4626,2.5349,1.8608,1.6859,1.6523,76.6508,4.9546,1.3902,0.99453825,-6.3029704,0.775,0.775,2.7632108,0.7797826,44.22938736794055,43.90860356421561
9733.0,12.4244,2.597,1.8982,1.716,1.6748,76.1352,5.0316,1.4199,0.99491173,-6.395442,0.775,0.775,2.766145,0.7794466,45.024545056820486,45.10552842681345
