DEPTH,Rv,Rh,Csh_pred,Rss_pred,fun,nfev,jac_norm,Rv_sim,Rh_sim
5091.34186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.327664366318329,10.0,1.0
5091.59186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.243977504233459,10.0,1.0
5091.84186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.163465848692308,10.0,1.0
5092.09186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.09129916306557,10.0,1.0
5092.34186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.0815333923608295,10.0,1.0
5092.59186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.071814131553295,10.0,1.0
5092.84186352,10.0,1.0,1.0,5.499990161301616,5.5901602637504575e-05,6,1.4505539713549624,10.0,1.0
5093.09186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.148325244498864,10.0,1.0
5093.34186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.230629121941167,10.0,1.0
5093.59186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.307400848079693,10.0,1.0
5093.84186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.284694223738413,10.0,1.0
5094.09186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.262225741534051,10.0,1.0
5094.34186352,10.0,1.0,1.0,0.29130000000000056,1.041564059479781e-05,39,4.237220229747243,10.0,1.0
5094.59186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.181484039470234,10.0,1.0
5094.84186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.127195111012326,10.0,1.0
5095.09186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.083789067119218,10.0,1.0
5095.34186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.1505247771472265,10.0,1.0
5095.59186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.219477855556738,10.0,1.0
5095.84186352,10.0,1.0,1.0,0.29130000000000056,1.041564059479781e-05,39,4.279686208147977,10.0,1.0
5096.09186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.21561880211018,10.0,1.0
5096.34186352,10.0,1.0,1.0,0.29130000000000056,1.041564059479781e-05,39,4.153441293064056,10.0,1.0
5096.59186352,10.0,1.0,1.0,0.29130000000000056,1.041564059479781e-05,39,4.099778580651486,10.0,1.0
5096.84186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.123648740827675,10.0,1.0
5097.09186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.147798487259729,10.0,1.0
5097.34186352,10.0,1.0,1.0,0.29130000000000056,1.041564059479781e-05,39,4.171938613756197,10.0,1.0
5097.59186352,10.0,1.0,1.0,0.29130000000000056,1.041564059479781e-05,39,4.192966723616884,10.0,1.0
5097.84186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.214207885316769,10.0,1.0
5098.09186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.23485728645777,10.0,1.0
5098.34186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.246415557006853,10.0,1.0
5098.59186352,10.0,1.0,1.0,0.29130000000000056,1.041564059479781e-05,39,4.258037092465251,10.0,1.0
5098.84186352,10.0,1.0,1.0,0.2913,1.0415640594797806e-05,39,4.2640608614838245,10.0,1.0
