DEPTH,Rv,Rh,Csh_pred,Rss_pred,fun,nfev,jac_norm,Rv_sim,Rh_sim
5480.07186614,10.0,1.0,1.0,5.499990161301616,5.5901602637504575e-05,6,1.8612479591482665,10.0,1.0
5480.32186614,10.0,1.0,1.0,5.499990161301616,5.5901602637504575e-05,6,1.8612479591482665,10.0,1.0
5480.57186614,10.0,1.0,1.0,5.499990161301616,5.5901602637504575e-05,6,1.8612479591482665,10.0,1.0
5480.82186614,10.0,1.0,1.0,5.499990161301616,5.5901602637504575e-05,6,1.8612479591482665,10.0,1.0
5481.07186614,10.0,1.0,1.0,5.499990161301616,5.5901602637504575e-05,6,1.8612479591482665,10.0,1.0
5481.32186614,10.0,1.0,1.0,5.499990161301616,5.5901602637504575e-05,6,1.8612479591482665,10.0,1.0
5481.57186614,10.0,1.0,1.0,5.499990161301616,5.5901602637504575e-05,6,1.8612479591482665,10.0,1.0
5481.82186614,10.0,1.0,1.0,5.499990161301616,5.5901602637504575e-05,6,1.8612479591482665,10.0,1.0
5482.07186614,10.0,1.0,1.0,5.499990161301616,5.5901602637504575e-05,6,1.8612479591482665,10.0,1.0
5482.32186614,10.0,1.0,1.0,5.499990161301616,5.5901602637504575e-05,6,1.8612479591482665,10.0,1.0
5482.57186614,10.0,1.0,1.0,5.499990161301616,5.5901602637504575e-05,6,1.8612479591482665,10.0,1.0
5482.82186614,10.0,1.0,1.0,5.499990161301616,5.5901602637504575e-05,6,1.8612479591482665,10.0,1.0
5483.07186614,10.0,1.0,1.0,5.499990161301616,5.5901602637504575e-05,6,1.8612479591482665,10.0,1.0
5483.32186614,10.0,1.0,1.0,5.499990161301616,5.5901602637504575e-05,6,1.8612479591482665,10.0,1.0
5483.57186614,10.0,1.0,1.0,5.499990161301616,5.5901602637504575e-05,6,1.8612479591482665,10.0,1.0
5483.82186614,10.0,1.0,1.0,5.499990161301616,5.5901602637504575e-05,6,1.8612479591482665,10.0,1.0
5484.07186614,10.0,1.0,1.0,5.499990161301616,5.5901602637504575e-05,6,1.8612479591482665,10.0,1.0
5484.32186614,10.0,1.0,1.0,5.499990161301616,5.5901602637504575e-05,6,1.8612479591482665,10.0,1.0
5484.57186614,10.0,1.0,1.0,5.499990161301616,5.5901602637504575e-05,6,1.8612479591482665,10.0,1.0
5484.82186614,10.0,1.0,1.0,5.499990161301616,5.5901602637504575e-05,6,1.8612479591482665,10.0,1.0
