DEPTH,CAL,AT10,AT30,AT60,AT90,GR,Rv,Rh,Rvsh,Rhsh,WNAME,WIDX,Csh_pred,Rss_pred,Rv_sim,Rh_sim,Rv_err,Rh_err
6292.75,10.4387,1.1217,0.8094,1.3978,1.0305,37.8765,1.4184,0.6011,2.78,0.58,AkerBP,2.0,0.42497963,0.58334297,1.516877442598343,0.5819175833044615,6.942854103098053,3.1912188813073437
6293.0,11.4565,0.9908,0.6934,1.1127,0.7013,39.1862,1.4186,0.6011,2.78,0.58,AkerBP,2.0,0.42504466,0.583381,1.5170421588420868,0.5819391195265264,6.9393880475177445,3.187636079433294
6293.25,12.3524,0.8676,0.5749,0.8996,0.6263,40.1169,1.418,0.6008,2.78,0.58,AkerBP,2.0,0.4249118,0.5832746,1.5166891431808471,0.5818786729203367,6.959742114305163,3.14935537278018
6293.5,12.9191,0.849,0.5244,0.6579,0.482,41.0475,1.4158,0.5997,2.78,0.58,AkerBP,2.0,0.4244192,0.58288676,1.5153838127851484,0.5816580386284095,7.033748607511549,3.0084978108371736
6293.75,13.4785,0.7455,0.5213,0.5982,0.466,41.9985,1.4111,0.5975,2.78,0.58,AkerBP,2.0,0.42330575,0.58206135,1.5124614095687865,0.5811869793603078,7.183148576910671,2.7302126593627114
6294.0,13.7123,0.6889,0.5356,0.5738,0.4469,42.9495,1.4051,0.5947,2.78,0.58,AkerBP,2.0,0.42182282,0.58102095,1.5086005181074142,0.5805898338871787,7.366060643898244,2.3726527850716903
6294.25,13.5185,0.6849,0.5325,0.5471,0.4345,42.4907,1.4005,0.5925,2.78,0.58,AkerBP,2.0,0.42065072,0.5802368,1.5055687689781188,0.5801371633102274,7.502232701043818,2.0865547155734463
6294.5,13.5685,0.7166,0.5402,0.5316,0.4339,42.0319,1.3983,0.5914,2.78,0.58,AkerBP,2.0,0.4200853,0.5798685,1.504111430644989,0.5799237415455789,7.567148011513185,1.940523918569687
6294.75,13.4507,0.7494,0.5625,0.5192,0.4441,41.4824,1.3977,0.5912,2.78,0.58,AkerBP,2.0,0.4199097,0.57976085,1.5036625617742538,0.5798612491497569,7.581209256224791,1.9179213210830603
6295.0,12.6231,0.7976,0.5828,0.5151,0.456,40.933,1.3976,0.5911,2.78,0.58,AkerBP,2.0,0.41989362,0.57974803,1.5036198127269744,0.57985380697125,7.585848077201951,1.9025872151497147
6295.25,12.1183,0.8111,0.5904,0.5204,0.4717,40.1903,1.3976,0.5911,2.78,0.58,AkerBP,2.0,0.41989362,0.57974803,1.5036198127269744,0.57985380697125,7.585848077201951,1.9025872151497147
6295.5,12.1015,0.8291,0.6147,0.5149,0.4932,39.4476,1.3981,0.5911,2.78,0.58,AkerBP,2.0,0.42007303,0.5798504,1.5040738987922668,0.5799132211842193,7.579851140280877,1.892535749582249
6295.75,12.0666,0.8234,0.6336,0.532,0.5142,39.5945,1.401,0.5912,2.78,0.58,AkerBP,2.0,0.42108637,0.58043325,1.5066408193111418,0.5802507334308092,7.540386817354873,1.8520410299713648
6296.0,12.152,0.7994,0.6495,0.5306,0.5345,39.7415,1.411,0.5914,2.78,0.58,AkerBP,2.0,0.4245088,0.58241147,1.5153071749210356,0.5813853384894574,7.392429122681472,1.6933820613024422
6296.25,11.9317,0.7678,0.6501,0.5363,0.5486,39.5324,1.4326,0.5918,2.78,0.58,AkerBP,2.0,0.43139008,0.5864529,1.5327273672819137,0.5836516362251642,6.989206148395478,1.3768779612767392
6296.5,12.1112,0.7435,0.6284,0.5447,0.541,39.3233,1.4614,0.5924,2.78,0.58,AkerBP,2.0,0.43951622,0.59132403,1.5532826262712478,0.5862929266254256,6.287301647136155,1.0309036756540157
6296.75,12.4747,0.7167,0.6026,0.5488,0.5368,39.5174,1.4846,0.5929,2.78,0.58,AkerBP,2.0,0.44527903,0.594825,1.5678376346826552,0.5881311902498546,5.6067381572582065,0.804319404645872
6297.0,12.1744,0.7094,0.5944,0.5476,0.5332,39.7115,1.4959,0.5931,2.78,0.58,AkerBP,2.0,0.44786882,0.59640384,1.5743684923648833,0.5889437830580665,5.245570717620382,0.7007615818468161
6297.25,12.0602,0.6925,0.5868,0.5463,0.5268,39.9017,1.4989,0.5931,2.78,0.58,AkerBP,2.0,0.44854468,0.5968132,1.576070021390915,0.5891527281585152,5.148443618047568,0.6655322612518633
6297.5,12.0648,0.686,0.5839,0.5446,0.5268,40.0919,1.4976,0.5928,2.78,0.58,AkerBP,2.0,0.44831756,0.5966571,1.5754880601167678,0.589072607657701,5.2008587150619485,0.6287773856779721
6297.75,12.077,0.6737,0.5758,0.5425,0.5261,40.5278,1.4867,0.5907,2.78,0.58,AkerBP,2.0,0.44624907,0.5952899,1.5702147340774535,0.5883683524448773,5.61745705774222,0.3947261816696661
6298.0,12.1456,0.6697,0.5616,0.5396,0.5217,40.9637,1.45,0.5838,2.78,0.58,AkerBP,2.0,0.43816516,0.5902292,1.5497104448080061,0.5857030643221958,6.8765824005521505,0.3259788150386742
6298.25,12.1061,0.6647,0.5552,0.5363,0.5176,40.616,1.3779,0.5695,2.78,0.58,AkerBP,2.0,0.4165691,0.5782077,1.4954063355922698,0.5789529578864883,8.527929137983154,1.6598696903403436
6298.5,12.0783,0.6566,0.5478,0.5327,0.5144,40.2682,1.2952,0.5523,2.78,0.58,AkerBP,2.0,0.38080296,0.56142265,1.406263442635536,0.5683549443324903,8.575003291811004,2.9069245577567133
6298.75,12.1092,0.6479,0.5396,0.5283,0.5109,41.2282,1.2374,0.5395,2.78,0.58,AkerBP,2.0,0.34915972,0.54862046,1.3277283215522764,0.5591836855629272,7.2998481939773985,3.6485052016547197
6299.0,12.1209,0.6487,0.5421,0.5279,0.5145,42.1882,1.2118,0.5337,2.78,0.58,AkerBP,2.0,0.3337486,0.5428543,1.2894986003637312,0.554711085868796,6.411833665929296,3.9368720008986466
6299.25,12.1443,0.6489,0.547,0.5335,0.521,42.2747,1.2039,0.532,2.78,0.58,AkerBP,2.0,0.32884598,0.54105496,1.2773230433464051,0.5532716933105587,6.09876595617619,3.998438592210276
6299.5,12.1457,0.6523,0.553,0.5474,0.5342,42.3612,1.1985,0.5314,2.78,0.58,AkerBP,2.0,0.32540578,0.53971213,1.2687147462368011,0.5521935171021096,5.858552043120671,3.9129689691587575
6299.75,12.1244,0.6476,0.5473,0.5373,0.5302,42.9984,1.1842,0.5304,2.78,0.58,AkerBP,2.0,0.31614855,0.53605324,1.2454737812280654,0.5492093514160182,5.174276408382494,3.5462578084498966
6300.0,12.1267,0.6417,0.5426,0.5276,0.5213,43.6356,1.1551,0.5284,2.78,0.58,AkerBP,2.0,0.29705068,0.52872765,1.1974696296453475,0.5429861741799541,3.668048623093024,2.760441744881551
6300.25,12.1413,0.6447,0.5448,0.5286,0.523,43.0236,1.1198,0.5259,2.78,0.58,AkerBP,2.0,0.27377686,0.52021706,1.13889330804348,0.5353235337041363,1.70506412247545,1.791886994511559
