DEPTH,CAL,AT10,AT30,AT60,AT90,GR,Rv,Rh,Rvsh,Rhsh,WNAME,WIDX,Csh_pred,Rss_pred,Rv_sim,Rh_sim,Rv_err,Rh_err,Csh_q,Rss_q
6292.75,10.4387,1.1217,0.8094,1.3978,1.0305,37.8765,1.4184,0.6011,2.78,0.58,AkerBP,2.0,0.7095947,0.7643689,1.4380779337882994,0.6909561452081457,1.3873331774040676,14.948618400955876,0.6142976041090893,0.37128942435330564
6293.0,11.4565,0.9908,0.6934,1.1127,0.7013,39.1862,1.4186,0.6011,2.78,0.58,AkerBP,2.0,0.70976377,0.764529,1.4383449441194534,0.6910274478054231,1.3918612800968044,14.960480420133617,0.6143028526352661,0.37138024970085015
6293.25,12.3524,0.8676,0.5749,0.8996,0.6263,40.1169,1.418,0.6008,2.78,0.58,AkerBP,2.0,0.70934874,0.76417124,1.4377128827571868,0.6908715829206801,1.3901891930315131,14.991941231804272,0.6137971673879452,0.37125001431298527
6293.5,12.9191,0.849,0.5244,0.6579,0.482,41.0475,1.4158,0.5997,2.78,0.58,AkerBP,2.0,0.70782006,0.7628622,1.4353891921043396,0.6903003744881651,1.3836129470504044,15.107616222805579,0.611947592686577,0.37077166797343697
6293.75,13.4785,0.7455,0.5213,0.5982,0.466,41.9985,1.4111,0.5975,2.78,0.58,AkerBP,2.0,0.70447266,0.760015,1.430307400226593,0.6890495022173473,1.3611650646015838,15.322092421313346,0.6082635916478044,0.3696748856189899
6294.0,13.7123,0.6889,0.5356,0.5738,0.4469,42.9495,1.4051,0.5947,2.78,0.58,AkerBP,2.0,0.7001262,0.7563971,1.423748430609703,0.6874474456872637,1.3271959725075086,15.595669360562244,0.6036181384253775,0.3682634356246496
6294.25,13.5185,0.6849,0.5325,0.5471,0.4345,42.4907,1.4005,0.5925,2.78,0.58,AkerBP,2.0,0.6967558,0.7536617,1.4186992681026458,0.6862277624418289,1.299483620324578,15.819031635751713,0.6000036672343004,0.36720077035640186
6294.5,13.5685,0.7166,0.5402,0.5316,0.4339,42.0319,1.3983,0.5914,2.78,0.58,AkerBP,2.0,0.6951407,0.7523787,1.4162952691316604,0.6856539403133269,1.28693907828508,15.937426498702553,0.5982085612329283,0.3667130709886743
6294.75,13.4507,0.7494,0.5625,0.5192,0.4441,41.4824,1.3977,0.5912,2.78,0.58,AkerBP,2.0,0.6946704,0.7519866,1.4155824518203735,0.6854758834196522,1.279419891276634,15.946529671795028,0.597880270620916,0.36653338431006677
6295.0,12.6231,0.7976,0.5828,0.5151,0.456,40.933,1.3976,0.5911,2.78,0.58,AkerBP,2.0,0.6946106,0.75194997,1.415500641465187,0.6854606383678067,1.2808129268164707,15.963565956319867,0.597718867356272,0.36653441239933643
