DEPTH,GR,DPHI,NPHI,PEF,AT10,AT30,AT60,AT90,Rh,Rv,Rvsh,Rhsh,WNAME,WIDX,Csh_pred,Rss_pred,Rv_sim,Rh_sim,Rv_err,Rh_err,Csh_q,Rss_q,Rv_sim_q,Rh_sim_q,Rv_err_q,Rh_err_q
5485.57186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01447808,1.01850229,1.02084643,1.02093753,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5485.82186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01450175,1.01851628,1.02079582,1.0208478,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5486.07186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01452844,1.01853179,1.02073105,1.02073668,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5486.32186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01455881,1.01854789,1.02065092,1.02060196,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5486.57186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01459338,1.01856389,1.0205544,1.02044149,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5486.82186614,85.80749348,0.18168072,0.58231103,1.40689611,1.0146324,1.01857896,1.02044167,1.02025386,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5487.07186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01467626,1.01859165,1.02030626,1.0200327,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5487.32186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01472528,1.01860251,1.02013835,1.01976951,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5487.57186614,85.80749348,0.18168072,0.58231103,1.40689611,1.0147803,1.01861243,1.0199491,1.01946929,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5487.82186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01484205,1.01862124,1.01973553,1.01912748,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5488.07186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01491071,1.01862384,1.01948643,1.01873478,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5488.32186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01498641,1.01863157,1.0192086,1.01829376,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
