DEPTH,GR,RHOZ,NPOR,PEFZ,Rv,Rh,Rvsh,Rhsh,WNAME,WIDX,Csh_pred,Rss_pred,Rv_sim,Rh_sim,Rv_err,Rh_err,Csh_q,Rss_q
5091.34186352,103.52541291,2.58911285,0.3472349,6.85803754,10.0,1.0,10.0,1.0,Synthetic2,4.0,1.0,3.907863,8.999045729637146,1.1392876298041263,10.00954270362854,13.928762980412635,1.0,0.9999999999999999
5091.59186352,105.56682273,2.59141585,0.3457627,6.88817309,10.0,1.0,10.0,1.0,Synthetic2,4.0,1.0,3.907863,8.999045729637146,1.1392876298041263,10.00954270362854,13.928762980412635,1.0,0.9999999999999999
5091.84186352,107.60823255,2.59371885,0.3442905,6.91830864,10.0,1.0,10.0,1.0,Synthetic2,4.0,1.0,3.907863,8.999045729637146,1.1392876298041263,10.00954270362854,13.928762980412635,1.0,0.9999999999999999
5092.09186352,109.50633654,2.59617893,0.34277568,6.94481575,10.0,1.0,10.0,1.0,Synthetic2,4.0,1.0,3.907863,8.999045729637146,1.1392876298041263,10.00954270362854,13.928762980412635,1.0,0.9999999999999999
5092.34186352,109.76834867,2.60043246,0.34077416,6.92989777,10.0,1.0,10.0,1.0,Synthetic2,4.0,1.0,3.907863,8.999045729637146,1.1392876298041263,10.00954270362854,13.928762980412635,1.0,0.9999999999999999
5092.59186352,110.0303608,2.60468599,0.33877265,6.91497979,10.0,1.0,10.0,1.0,Synthetic2,4.0,1.0,3.907863,8.999045729637146,1.1392876298041263,10.00954270362854,13.928762980412635,1.0,0.9999999999999999
5092.84186352,110.10205881,2.60769464,0.33695366,6.89857635,10.0,1.0,10.0,1.0,Synthetic2,4.0,1.0,3.907863,8.999045729637146,1.1392876298041263,10.00954270362854,13.928762980412635,1.0,0.9999999999999999
5093.09186352,108.00098138,2.59649082,0.33721855,6.8652138,10.0,1.0,10.0,1.0,Synthetic2,4.0,1.0,3.907863,8.999045729637146,1.1392876298041263,10.00954270362854,13.928762980412635,1.0,0.9999999999999999
5093.34186352,105.89990395,2.585287,0.33748344,6.83185126,10.0,1.0,10.0,1.0,Synthetic2,4.0,1.0,3.907863,8.999045729637146,1.1392876298041263,10.00954270362854,13.928762980412635,1.0,0.9999999999999999
5093.59186352,104.01243153,2.57441262,0.33768959,6.80287825,10.0,1.0,10.0,1.0,Synthetic2,4.0,1.0,3.907863,8.999045729637146,1.1392876298041263,10.00954270362854,13.928762980412635,1.0,0.9999999999999999
5093.84186352,104.56364144,2.56729938,0.33722519,6.82401968,10.0,1.0,10.0,1.0,Synthetic2,4.0,1.0,3.907863,8.999045729637146,1.1392876298041263,10.00954270362854,13.928762980412635,1.0,0.9999999999999999
5094.09186352,105.11485134,2.56018614,0.33676078,6.8451611,10.0,1.0,10.0,1.0,Synthetic2,4.0,1.0,3.907863,8.999045729637146,1.1392876298041263,10.00954270362854,13.928762980412635,1.0,0.9999999999999999
5094.34186352,105.73517423,2.55436005,0.33662487,6.86680018,10.0,1.0,10.0,1.0,Synthetic2,4.0,1.0,3.907863,8.999045729637146,1.1392876298041263,10.00954270362854,13.928762980412635,1.0,0.9999999999999999
5094.59186352,107.14454521,2.56322895,0.3402393,6.89412078,10.0,1.0,10.0,1.0,Synthetic2,4.0,1.0,3.907863,8.999045729637146,1.1392876298041263,10.00954270362854,13.928762980412635,1.0,0.9999999999999999
5094.84186352,108.55391619,2.57209785,0.34385373,6.92144139,10.0,1.0,10.0,1.0,Synthetic2,4.0,1.0,3.907863,8.999045729637146,1.1392876298041263,10.00954270362854,13.928762980412635,1.0,0.9999999999999999
5095.09186352,109.70771843,2.579993,0.34694029,6.94574977,10.0,1.0,10.0,1.0,Synthetic2,4.0,1.0,3.907863,8.999045729637146,1.1392876298041263,10.00954270362854,13.928762980412635,1.0,0.9999999999999999
5095.34186352,107.94374738,2.57677101,0.3440002,6.93566816,10.0,1.0,10.0,1.0,Synthetic2,4.0,1.0,3.907863,8.999045729637146,1.1392876298041263,10.00954270362854,13.928762980412635,1.0,0.9999999999999999
5095.59186352,106.17977634,2.57354902,0.34106012,6.92558656,10.0,1.0,10.0,1.0,Synthetic2,4.0,1.0,3.907863,8.999045729637146,1.1392876298041263,10.00954270362854,13.928762980412635,1.0,0.9999999999999999
5095.84186352,104.68599975,2.57122686,0.33813115,6.92037794,10.0,1.0,10.0,1.0,Synthetic2,4.0,1.0,3.907863,8.999045729637146,1.1392876298041263,10.00954270362854,13.928762980412635,1.0,0.9999999999999999
5096.09186352,106.276975,2.57917782,0.33532906,6.9708031,10.0,1.0,10.0,1.0,Synthetic2,4.0,1.0,3.907863,8.999045729637146,1.1392876298041263,10.00954270362854,13.928762980412635,1.0,0.9999999999999999
5096.34186352,107.86795025,2.58712878,0.33252697,7.02122826,10.0,1.0,10.0,1.0,Synthetic2,4.0,1.0,3.907863,8.999045729637146,1.1392876298041263,10.00954270362854,13.928762980412635,1.0,0.9999999999999999
5096.59186352,109.27984924,2.59326205,0.33013114,7.06795786,10.0,1.0,10.0,1.0,Synthetic2,4.0,1.0,3.907863,8.999045729637146,1.1392876298041263,10.00954270362854,13.928762980412635,1.0,0.9999999999999999
