DEPTH:1,Rvsh,Rhsh
9720.0,3.8277614,0.8531951
9720.25,3.9059327,0.8708704
9720.5,3.970475,0.88472915
9720.75,4.016976,0.89437026
9721.0,4.04594,0.9002954
9721.25,4.061474,0.90360916
9721.5,4.0675874,0.9052162
9721.75,4.0669856,0.9061202
9722.0,4.0601707,0.9068239
9722.25,4.045739,0.9078293
9722.5,4.021986,0.9092368
9722.75,3.988012,0.91124797
9723.0,3.945618,0.9139625
9723.25,3.8990147,0.91687834
9723.5,3.8545165,0.9199947
9723.75,3.819339,0.92291
9724.0,3.8009982,0.9258239
9724.25,3.808715,0.92903817
9724.5,3.855518,0.9337568
9724.75,3.960549,0.94118434
9725.0,4.1489644,0.95282644
9725.25,4.4507294,0.9697858
9725.5,4.8951073,0.99196064
9725.75,5.49984,1.0181447
9726.0,6.252198,1.045526
9726.25,7.0881405,1.0707929
9726.5,7.8936157,1.0914409
9726.75,8.550364,1.1060703
9727.0,8.998251,1.1152864
9727.25,9.254216,1.1203952
9727.5,9.375683,1.1228995
9727.75,9.415271,1.124203
9728.0,9.398032,1.1252087
9728.25,9.317155,1.1269209
9728.5,9.139663,1.1301454
9728.75,8.822362,1.1360902
9729.0,8.3413,1.1458611
9729.25,7.722534,1.1599596
9729.5,7.042534,1.1784813
9729.75,6.3935013,1.2000146
9730.0,5.843787,1.2221453
9730.25,5.4224567,1.2424606
9730.5,5.1268044,1.2588513
9730.75,4.9368844,1.2707152
9731.0,4.8266406,1.2787579
9731.25,4.7717195,1.2846876
9731.5,4.7537794,1.2909167
9731.75,4.761697,1.2994546
9732.0,4.7904596,1.3126123
9732.25,4.837863,1.3315954
9732.5,4.901102,1.3562028
9732.75,4.975163,1.3850284
9733.0,5.0523314,1.4148587
9733.25,5.1257925,1.4420773
9733.5,5.1936398,1.4637715
9733.75,5.2625923,1.478333
9734.0,5.349383,1.4856615
9734.25,5.4798703,1.4864575
9734.5,5.684422,1.4817245
9734.75,5.9929023,1.4722645
9735.0,6.4256573,1.459483
9735.25,6.9829884,1.4449859
9735.5,7.631118,1.4307857
9735.75,8.29779,1.4184928
9736.0,8.887891,1.4096198
9736.25,9.320346,1.4046733
9736.5,9.557469,1.4043586
9736.75,9.604874,1.4089761
9737.0,9.491724,1.4192289
9737.25,9.256203,1.4352145
9737.5,8.943212,1.4564278
9737.75,8.601254,1.4806561
9738.0,8.273833,1.5045824
9738.25,7.988302,1.523484
9738.5,7.750676,1.5327388
9738.75,7.5481296,1.5284305
9739.0,7.358713,1.5084512
9739.25,7.1636863,1.4737055
9739.5,6.9573326,1.4283124
9739.75,6.7487745,1.3787005
9740.0,6.555452,1.3315988
9740.25,6.3941984,1.2921301
9740.5,6.274937,1.2624028
9740.75,6.200273,1.2424167
9741.0,6.1706085,1.2305651
9741.25,6.1905537,1.2244366
9741.5,6.2748394,1.222121
9741.75,6.451929,1.2224125
9742.0,6.762715,1.2245044
9742.25,7.256503,1.2280929
9742.5,7.9815025,1.2328737
9742.75,8.966574,1.2384434
9743.0,10.188569,1.2439997
9743.25,11.5347395,1.2490474
9743.5,12.79552,1.253195
9743.75,13.72577,1.2565577
9744.0,14.145396,1.2596486
9744.25,13.99747,1.2630719
9744.5,13.34463,1.2677301
9744.75,12.342919,1.2739134
9745.0,11.199498,1.2816128
9745.25,10.106387,1.2902129
9745.5,9.187458,1.2986021
9745.75,8.48982,1.305372
9746.0,8.005752,1.3091159
9746.25,7.6997776,1.3088319
9746.5,7.527196,1.3041208
9746.75,7.445215,1.2948833
9747.0,7.4177566,1.2820268
9747.25,7.415352,1.2670598
